"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"DougJudy","DAX","1 day",2021-11-17,0.15353013075224,0.153548569702168,0.153555836570606,0.153563103439044,0.153581542388973,-0.181070726224064,0.652471671103794,0.501928943889349,0.33462656279467,0.167316914831554,0.0167326134306518,0.334615341210004,0.33462656279467,FALSE,FALSE,FALSE
"GinaLinetti","DAX","1 day",2021-11-17,-1.814,-0.319,0.107,0.585,1.644,-0.181070726224064,0.0816464636887968,0.068964636887968,0.288070726224064,0.383035363112032,0.0912535363112033,0.182594145244813,0.288070726224064,TRUE,TRUE,FALSE
"CaptainRaymondHolt","DAX","1 day",2021-11-17,-2.8458267871838,-0.464261728841642,0.0814519562604587,0.66260132282272,2.50976839819233,-0.181070726224064,0.133237803047987,0.141595501308789,0.262522682484523,0.421836024523392,0.13454195622082,0.218746793517102,0.262522682484523,TRUE,TRUE,FALSE
"JabbaTheHutt","DAX","1 day",2021-11-17,-0.03771,0.02012,0.09505,0.33849,0.61254,-0.181070726224064,0.279553416136925,0.301786089336096,0.276120726224064,0.259780363112032,0.0396805363112032,0.231384226224064,0.276120726224064,FALSE,FALSE,FALSE
"DexterJettster","DAX","1 day",2021-11-17,-1.81771946224871,-0.297346014009392,0.132224049112306,0.487441245591924,1.55890568174936,-0.181070726224064,0.0818324368012323,0.058137643892664,0.31329477533637,0.334255985907994,0.0869988203986713,0.174903932467386,0.31329477533637,TRUE,TRUE,FALSE
"AryaStark","DAX","1 day",2021-11-17,-1.16661739958557,-0.30830006768965,0.0620037921440629,0.432307651977776,1.2906249838737,-0.181070726224064,0.0492773336680753,0.063614670732793,0.243074518368127,0.30668918910092,0.0735847855048883,0.147248099474961,0.243074518368127,TRUE,TRUE,FALSE
"HanSolo","DAX","1 day",2021-11-17,-1.2327443124575,-0.367333467330209,0.0684312895075938,0.620261647383953,2.59809920794411,-0.181070726224064,0.0525836793116719,0.0931313705530725,0.249502015731658,0.400666186804008,0.138958496708409,0.186968349821764,0.249502015731658,TRUE,TRUE,FALSE
"ChandlerBing","DAX","1 day",2021-11-17,-1.21312638351523,-0.372501316262789,0.0685755847526748,0.509652485768139,1.35027755302058,-0.181070726224064,0.0516027828645585,0.0957152950193627,0.249646310976739,0.345361605996102,0.0765674139622325,0.163778681763799,0.249646310976739,TRUE,TRUE,FALSE
"Joey","DAX","1 day",2021-11-17,-1.8849446,-0.3197792,0.12355686,0.5313622,1.067008,-0.181070726224064,0.0851936936887968,0.069354236887968,0.304627586224064,0.356216463112032,0.0624039363112033,0.175559183244813,0.304627586224064,TRUE,TRUE,FALSE
"GeneralGrievous","DAX","1 day",2021-11-17,-0.425907313731015,0.110292507955732,0.391637146472931,0.672981784990129,1.20918160667688,-0.181070726224064,0.0122418293753475,0.437044851269695,0.572707872696995,0.427026255607097,0.0695126166450471,0.303706685118836,0.572707872696995,FALSE,TRUE,FALSE
"Bronn","DAX","1 day",2021-11-17,-2.86132003975004,-0.630469722136784,0.0813486316353362,0.744672947882652,2.7030533416458,-0.181070726224064,0.134012465676299,0.22469949795636,0.2624193578594,0.462871837053358,0.144206203393493,0.245641872387782,0.2624193578594,TRUE,TRUE,FALSE
