"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"AryaStark","DAX","1 day",2022-01-19,-2.09748829319593,-0.494968299130705,0.0843650245495803,0.660683731997279,2.13942548161075,0.646936181657232,0.137221223742658,0.570952240393968,0.562571157107651,0.00687377517002369,0.074624464997676,0.270448572282395,0.562571157107651,TRUE,TRUE,FALSE
"GinaLinetti","DAX","1 day",2022-01-19,-3.115045,-1.57011,0.0587872,1.687685,3.232619,0.646936181657232,0.188099059082862,1.10852309082862,0.588148981657232,0.520374409171384,0.129284140917139,0.506885936331446,0.588148981657232,TRUE,TRUE,FALSE
"ChandlerBing","DAX","1 day",2022-01-19,-1.75189938675107,-0.461536988364058,0.215517586902977,0.892572162170012,2.18293456055703,0.646936181657232,0.119941778420415,0.554236585010645,0.431418594754255,0.12281799025639,0.0767999189449899,0.261042973477339,0.431418594754255,TRUE,TRUE,FALSE
"Joey","DAX","1 day",2022-01-19,-1.6759907,-0.36778593,-0.09293033,0.29300728,1.3295107,0.646936181657232,0.116146344082862,0.507361055828616,0.739866511657232,0.530893352485847,0.0341287259171384,0.385679197994339,0.739866511657232,FALSE,TRUE,FALSE
"DougJudy","DAX","1 day",2022-01-19,-3.20836826949129,-0.64910508355039,0.114472041167393,0.857673214004796,3.15711274679915,0.646936181657232,0.192765222557426,0.648020632603811,0.532464140489838,0.105368516173782,0.125508828257096,0.320825468016391,0.532464140489838,TRUE,TRUE,FALSE
"Bronn","DAX","1 day",2022-01-19,-2.38691459011207,-0.511845810270108,0.0739005442763669,0.658197996626894,2.30732986773646,0.646936181657232,0.151692538588465,0.57939099596367,0.573035637380865,0.00563090748483125,0.0830196843039615,0.278553952744358,0.573035637380865,TRUE,TRUE,FALSE
"HanSolo","DAX","1 day",2022-01-19,-2.96741674236849,-0.6492535154541,0.0527261575789753,0.637618528020891,2.29756219717733,0.646936181657232,0.180717646201286,0.648094848555666,0.594210024078256,0.0139764804545114,0.082531300776005,0.303906060013145,0.594210024078256,FALSE,TRUE,FALSE
"DAX_benchmark","DAX","1 day",2022-01-19,-2.71099410396365,-0.496172661875782,0.077906443446718,0.667302552216587,2.43822167008952,0.646936181657232,0.167896514281044,0.571554421766507,0.569029738210514,0.0101831852796777,0.0895642744216145,0.281645626791871,0.569029738210514,TRUE,TRUE,FALSE
"Joffrey_Baratheon","DAX","1 day",2022-01-19,-2.92824212759312,-0.685053922239708,0.0679405843479533,0.853491445828011,2.76186995257906,0.646936181657232,0.178758915462518,0.66599505194847,0.578995597309278,0.10327763208539,0.105746688546092,0.326554777070349,0.578995597309278,TRUE,TRUE,FALSE
"GeneralGrievous","DAX","1 day",2022-01-19,0.1,0.15,0.18,0.21,0.26,0.646936181657232,0.0273468090828616,0.248468090828616,0.466936181657232,0.655404272485848,0.754525554231602,0.430536181657232,0.466936181657232,FALSE,FALSE,FALSE
